Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
March 31 2018,Columbia,GA,Passenger,1,1,2,163,165,1.21
March 31 2018,Dekalb,GA,Passenger,1,0,1,75,76,1.32
March 31 2018,Fulton,GA,Passenger,1,1,2,86,88,2.27
March 31 2018,Gwinnett,GA,Passenger,0,1,1,79,80,1.25
March 31 2018,Liberty,GA,Passenger,1,0,1,150,151,0.66
March 31 2018,Lumpkin,GA,Passenger,1,0,1,9,10,10
March 31 2018,Honolulu,HI,Passenger,2,1,3,523,526,0.57
March 31 2018,Maui,HI,Passenger,1,0,1,63,64,1.56
March 31 2018,Ada,ID,Passenger,0,2,2,323,325,0.62
March 31 2018,Canyon,ID,Passenger,0,1,1,82,83,1.2
March 31 2018,Latah,ID,Passenger,0,1,1,77,78,1.28
March 31 2018,Madison,ID,Passenger,1,0,1,36,37,2.7
March 31 2018,Twin Falls,ID,Passenger,0,1,1,24,25,4
March 31 2018,Cook,IL,Passenger,1,0,1,267,268,0.37
March 31 2018,Dupage,IL,Passenger,1,0,1,60,61,1.64
March 31 2018,Saint Clair,IL,Passenger,0,1,1,163,164,0.61
March 31 2018,Sangamon,IL,Passenger,1,0,1,11,12,8.33
March 31 2018,Dekalb,IN,Passenger,1,0,1,1,2,50
March 31 2018,Hamilton,IN,Passenger,1,0,1,42,43,2.33
March 31 2018,Marion,IN,Passenger,1,0,1,116,117,0.85
March 31 2018,Riley,KS,Passenger,1,0,1,87,88,1.14
March 31 2018,Hardin,KY,Passenger,0,1,1,123,124,0.81
March 31 2018,Caddo,LA,Passenger,0,1,1,20,21,4.76
March 31 2018,Orleans,LA,Passenger,0,1,1,51,52,1.92
March 31 2018,Anne Arundel,MD,Passenger,0,3,3,489,492,0.61
March 31 2018,Charles,MD,Passenger,0,1,1,83,84,1.19
March 31 2018,Frederick,MD,Passenger,0,1,1,89,90,1.11
March 31 2018,Montgomery,MD,Passenger,1,3,4,294,298,1.34
March 31 2018,Kent,MI,Passenger,0,1,1,31,32,3.12
March 31 2018,Washtenaw,MI,Passenger,1,0,1,35,36,2.78
March 31 2018,Dakota,MN,Passenger,0,1,1,35,36,2.78
March 31 2018,Ramsey,MN,Passenger,1,0,1,32,33,3.03
March 31 2018,Flathead,MT,Passenger,1,0,1,54,55,1.82
March 31 2018,Gallatin,MT,Passenger,0,1,1,59,60,1.67
March 31 2018,Glacier,MT,Passenger,0,1,1,4,5,20
March 31 2018,Cumberland,NC,Passenger,1,0,1,577,578,0.17
March 31 2018,Guilford,NC,Passenger,1,0,1,28,29,3.45
March 31 2018,Moore,NC,Passenger,0,1,1,206,207,0.48
March 31 2018,Santa Fe,NM,Passenger,0,1,1,36,37,2.7
March 31 2018,Clark,NV,Passenger,1,1,2,697,699,0.29
March 31 2018,Washoe,NV,Passenger,1,0,1,110,111,0.9
March 31 2018,Jefferson,NY,Passenger,1,0,1,252,253,0.4
March 31 2018,Nassau,NY,Passenger,1,0,1,31,32,3.12
March 31 2018,Saratoga,NY,Passenger,0,1,1,65,66,1.52
March 31 2018,Garfield,OK,Passenger,1,0,1,21,22,4.55
March 31 2018,Oklahoma,OK,Passenger,0,1,1,121,122,0.82
March 31 2018,Deschutes,OR,Passenger,1,0,1,154,155,0.65
March 31 2018,Lane,OR,Passenger,0,1,1,173,174,0.57
March 31 2018,Marion,OR,Passenger,1,0,1,121,122,0.82
March 31 2018,Multnomah,OR,Passenger,3,4,7,800,807,0.87
March 31 2018,Allegheny,PA,Passenger,1,0,1,71,72,1.39
March 31 2018,Montgomery,PA,Passenger,1,0,1,27,28,3.57
March 31 2018,Northampton,PA,Passenger,0,1,1,66,67,1.49
March 31 2018,Hamilton,TN,Passenger,1,0,1,19,20,5
March 31 2018,Montgomery,TN,Passenger,1,0,1,251,252,0.4
March 31 2018,Shelby,TN,Passenger,0,1,1,109,110,0.91
March 31 2018,Bexar,TX,Passenger,2,2,4,757,761,0.53
March 31 2018,Dallas,TX,Passenger,0,1,1,171,172,0.58
March 31 2018,El Paso,TX,Passenger,1,0,1,541,542,0.18
March 31 2018,Nueces,TX,Passenger,1,1,2,102,104,1.92
March 31 2018,Tarrant,TX,Passenger,1,0,1,208,209,0.48
March 31 2018,Travis,TX,Passenger,0,1,1,176,177,0.56
March 31 2018,Utah,UT,Passenger,0,1,1,133,134,0.75
March 31 2018,Alexandria City,VA,Passenger,2,0,2,165,167,1.2
March 31 2018,Arlington,VA,Passenger,1,2,3,168,171,1.75
March 31 2018,Fairfax,VA,Passenger,0,3,3,832,835,0.36
March 31 2018,Fairfax City,VA,Passenger,1,0,1,8,9,11.11
March 31 2018,Manassas City,VA,Passenger,0,1,1,8,9,11.11
March 31 2018,Norfolk City,VA,Passenger,2,2,4,344,348,1.15
March 31 2018,Prince George,VA,Passenger,0,1,1,78,79,1.27
March 31 2018,Prince William,VA,Passenger,0,4,4,256,260,1.54
March 31 2018,Virginia Beach City,VA,Passenger,1,1,2,677,679,0.29
March 31 2018,NULL,WA,Passenger,0,0,0,3,3,0
March 31 2018,NULL,WA,Truck,0,0,0,2,2,0
March 31 2018,Adams,WA,Passenger,5,4,9,"12,875","12,884",0.07
March 31 2018,Adams,WA,Truck,0,0,0,"5,383","5,383",0
March 31 2018,Asotin,WA,Passenger,8,5,13,"12,927","12,940",0.1
March 31 2018,Asotin,WA,Truck,0,0,0,"6,831","6,831",0
March 31 2018,Benton,WA,Passenger,189,195,384,"133,632","134,016",0.29
March 31 2018,Benton,WA,Truck,0,0,0,"42,160","42,160",0
March 31 2018,Chelan,WA,Passenger,98,41,139,"54,639","54,778",0.25
March 31 2018,Chelan,WA,Truck,0,0,0,"22,410","22,410",0
March 31 2018,Clallam,WA,Passenger,128,107,235,"50,446","50,681",0.46
March 31 2018,Clallam,WA,Truck,0,0,0,"21,926","21,926",0
March 31 2018,Clark,WA,Passenger,"1,020",672,"1,692","312,156","313,848",0.54
March 31 2018,Clark,WA,Truck,0,0,0,"81,073","81,073",0
March 31 2018,Columbia,WA,Passenger,2,1,3,"2,464","2,467",0.12
March 31 2018,Columbia,WA,Truck,0,0,0,"1,601","1,601",0
March 31 2018,Cowlitz,WA,Passenger,66,80,146,"72,772","72,918",0.2
March 31 2018,Cowlitz,WA,Truck,0,0,0,"29,211","29,211",0
March 31 2018,Douglas,WA,Passenger,42,33,75,"28,006","28,081",0.27
March 31 2018,Douglas,WA,Truck,0,0,0,"12,212","12,212",0
March 31 2018,Ferry,WA,Passenger,2,3,5,"4,586","4,591",0.11
March 31 2018,Ferry,WA,Truck,0,0,0,"3,728","3,728",0
March 31 2018,Franklin,WA,Passenger,44,57,101,"58,588","58,689",0.17
March 31 2018,Franklin,WA,Truck,0,0,0,"19,295","19,295",0
March 31 2018,Garfield,WA,Passenger,1,0,1,"1,372","1,373",0.07
March 31 2018,Garfield,WA,Truck,0,0,0,981,981,0
March 31 2018,Grant,WA,Passenger,35,46,81,"64,616","64,697",0.13
March 31 2018,Grant,WA,Truck,0,0,0,"26,873","26,873",0
March 31 2018,Grays Harbor,WA,Passenger,54,53,107,"47,111","47,218",0.23
March 31 2018,Grays Harbor,WA,Truck,0,0,0,"20,697","20,697",0
March 31 2018,Island,WA,Passenger,192,186,378,"63,364","63,742",0.59
March 31 2018,Island,WA,Truck,0,0,0,"21,485","21,485",0
